qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

r,G(r)
2.79,-1.6073016
2.8,-1.6337492
2.81,-1.6569961
2.82,-1.6759202
2.83,-1.68973
2.84,-1.6980475
2.85,-1.7009361
2.86,-1.6988951
2.87,-1.6928246
2.88,-1.6839385
2.89,-1.6736721
2.9,-1.6635536
2.91,-1.6550814
2.92,-1.6495976
2.93,-1.6481724
2.94,-1.6515044
2.95,-1.6598698
2.96,-1.6730818
2.97,-1.6905081
2.98,-1.7111112
2.99,-1.7335383
3.0,-1.7562236
3.01,-1.7775198
3.02,-1.7958463
3.03,-1.8098192
3.04,-1.8183777
3.05,-1.8208927
3.06,-1.8172195
3.07,-1.8077248
3.08,-1.7932626
3.09,-1.7750931
3.1,-1.7547657
3.11,-1.7339501
3.12,-1.7142488
3.1299999,-1.6969856
3.1399996,-1.6829816
3.1499999,-1.6723732
3.1599998,-1.6644266
3.1699998,-1.6574239
3.1799998,-1.6485908
3.1899998,-1.6341138
3.2,-1.6092175
3.21,-1.568321
3.22,-1.50528
3.23,-1.4136772
3.24,-1.2871801
3.2499998,-1.1199274
3.26,-0.9069201
3.27,-0.6444154
3.28,-0.33027703
3.29,0.035719395
3.3,0.45167857
3.31,0.91344535
3.32,1.4146017
3.33,1.946542
3.34,2.498695
3.35,3.0588362
3.36,3.6134987
3.37,4.1484613
3.38,4.6493006
3.3899999,5.101957
3.3999999,5.4933105
3.4099998,5.811741
3.4199998,6.04761
3.4299998,6.1936703
3.44,6.245389
3.45,6.201124
3.46,6.0622272
3.47,5.832942
3.48,5.5202403
3.49,5.1335135
3.5,4.684165
3.51,4.185134
3.52,3.6503565
3.53,3.0941951
3.54,2.530874
3.55,1.9739481
3.56,1.4357989
3.57,0.92723125
3.58,0.45714197
3.59,0.032290332
3.6,-0.3427981
3.61,-0.66586673
3.62,-0.93680334
3.6299999,-1.1574707
3.6399996,-1.3314143
3.6499999,-1.4635445
3.6599998,-1.5597502
3.6699998,-1.6264997
3.68,-1.6704564
3.69,-1.6980779
3.7,-1.7152942
3.71,-1.7272221
3.72,-1.737943
3.73,-1.7503281
3.74,-1.766024
3.7500002,-1.7854081
3.76,-1.8076847
3.77,-1.8310254
3.78,-1.8527567
3.79,-1.8695942
3.8,-1.8778955
3.81,-1.8739326
3.82,-1.8541397
3.83,-1.8153611
3.84,-1.7550617
3.85,-1.6714802
3.86,-1.5637498
3.87,-1.4319698
3.88,-1.2771934
3.8899999,-1.101384
3.8999999,-0.9073157
3.9099998,-0.69843704
3.92,-0.4786836
3.93,-0.2523013
3.94,-0.023608016
3.95,0.2031916
3.96,0.42420396
3.97,0.63601696
3.98,0.8358361
3.99,1.0215753
4.0,1.1919119
4.01,1.3462799
4.02,1.4848263
4.03,1.6083386
4.04,1.7180871
4.05,1.8157134
4.06,1.903016
4.07,1.9818121
4.08,2.0537267
4.09,2.1200652
4.1,2.1816547
4.11,2.2387667
4.12,2.2910433
4.13,2.3374996
4.14,2.3765452
4.15,2.4060776
4.16,2.4235847
4.17,2.4263103
4.18,2.4114249
4.19,2.3762088
4.2,2.318251
4.21,2.235611
4.22,2.127004
4.23,1.991887
4.24,1.8305874
4.25,1.6442946
4.2599998,1.4351127
4.27,1.2059344
4.2799997,0.9604126
4.29,0.70275515
4.2999997,0.43761992
4.31,0.16984963
4.32,-0.095649645
4.3300004,-0.35416096
4.34,-0.6013136
4.35,-0.8333026
4.36,-1.0469414
4.3700004,-1.2398427
4.38,-1.4104065
4.3900003,-1.5578958
4.4,-1.6823562
4.4100003,-1.7846106
4.42,-1.8661063
4.4300003,-1.9288539
4.44,-1.9752345
4.4500003,-2.0079045
4.46,-2.0296135
4.4700003,-2.0430954
4.48,-2.0509236
4.4900002,-2.0554137
4.4999995,-2.0585527
4.51,-2.0619261
4.52,-2.0666947
4.53,-2.0735762
4.54,-2.0828674
4.55,-2.094454
4.56,-2.1078706
4.57,-2.122328
4.58,-2.1367805
4.59,-2.1499834
4.6,-2.1605358
4.6100006,-2.1669433
4.62,-2.1676702
4.63,-2.1611817
4.64,-2.1460037
4.65,-2.1207473
4.66,-2.08418
4.67,-2.035248
4.68,-1.9731497
4.69,-1.8973589
4.7,-1.8076935
4.71,-1.7043419
4.72,-1.5879164
4.73,-1.4594709
4.74,-1.320541
4.75,-1.1731117
4.76,-1.0196486
4.77,-0.8630086
4.7799997,-0.7064415
4.79,-0.55344313
4.8,-0.40771493
4.8100004,-0.27301455
4.82,-0.15303655
4.830001,-0.051251993
4.84,0.029192615
4.8500004,0.085653454
4.86,0.11606507
4.8700004,0.11908246
4.88,0.09412427
4.8900003,0.041431837
4.9,-0.037911493
4.9100003,-0.14203252
4.92,-0.26829076
4.9300003,-0.41341752
4.94,-0.5735784
4.9500003,-0.74457574
4.96,-0.9219449
4.9700003,-1.1011814
4.98,-1.2778486
4.9900002,-1.4477773
5.0,-1.6071597
5.01,-1.7527119
5.02,-1.8817155
5.03,-1.9921067
5.04,-2.0824742
5.05,-2.1520596
5.06,-2.200702
5.07,-2.2287807
5.08,-2.2370868
5.09,-2.2267392
5.1,-2.1990407
5.11,-2.1553257
5.12,-2.0968835
5.1299996,-2.0247698
5.14,-1.9397545
5.15,-1.8422043
5.16,-1.7320517
5.17,-1.6087395
5.18,-1.4712653
5.19,-1.3181785
5.2,-1.1477025
5.21,-0.957792
5.22,-0.74632037
5.23,-0.511193
5.24,-0.25056785
5.25,0.03700362
5.2599998,0.35232106
5.27,0.6954367
5.28,1.0654031
5.2900004,1.4601828
5.3,1.8765167
5.3100004,2.309953
5.32,2.7546928
5.3300004,3.203823
5.34,3.6492653
5.35,4.082121
5.36,4.4927554
5.3700004,4.8712482
5.38,5.2075877
5.3900003,5.4921827
5.4,5.7161136
5.4100003,5.871637
5.42,5.9524503
5.4300003,5.9540925
5.44,5.8741546
5.4500003,5.7124805
5.46,5.4712877
5.4700003,5.1551037
5.48,4.7707496
5.4900002,4.327015
5.5000005,3.8344746
5.51,3.3049529
5.52,2.7512286
5.53,2.1863484
5.54,1.6232896
5.55,1.074259
5.56,0.5504014
5.57,0.061192915
5.58,-0.38569862
5.59,-0.7848147
5.6,-1.1328446
5.6100006,-1.4287523
5.62,-1.6734976
5.63,-1.8699024
5.64,-2.022181
5.65,-2.135596
5.66,-2.2159176
5.67,-2.268971
5.68,-2.300129
5.69,-2.313903
5.7,-2.3135815
5.71,-2.3009791
5.72,-2.2763205
5.73,-2.238222
5.74,-2.183838
5.75,-2.109108
5.76,-2.0091276
5.7700005,-1.8785834
5.78,-1.7122742
5.7900004,-1.5055966
5.8,-1.2551136
5.8100004,-0.958927
5.82,-0.6171608
5.830001,-0.23210716
5.84,0.19151044
5.8500004,0.6466916
5.86,1.1241409
5.8700004,1.6127589
5.88,2.09987
5.8900003,2.5719287
5.9,3.0149467
5.9100003,3.415307
5.92,3.7602189
5.9300003,4.0385165
5.94,4.24101
5.9500003,4.36108
5.96,4.3948765
5.9700003,4.3415613
5.98,4.203307
5.9900002,3.985155
6.0,3.6948178
6.01,3.3422248
6.02,2.9391315
6.03,2.4984787
6.04,2.033948
6.05,1.559219
6.06,1.0876145
6.07,0.63139135
6.08,0.20151807
6.09,-0.19281527
6.1,-0.5442666
6.11,-0.847609
6.12,-1.0996037
6.1299996,-1.2990217
6.14,-1.4464053
6.15,-1.5439166
6.16,-1.5949959
6.17,-1.6041458
6.18,-1.5765936
6.19,-1.518043
6.2,-1.4344205
6.21,-1.3316585
6.22,-1.215532
6.23,-1.0915327
6.24,-0.9647943
6.25,-0.8400106
6.2599998,-0.7214479
6.27,-0.6128986
6.2799993,-0.5177144
