qmin:1.0
qmax:30.0
qdamp:0.04
qstep:0.05
rmin:0.0
rmax:20.0
rstep:0.01
rthres:0.0
biso:0.3
device:cuda
batch_size:10000
lorch_mod:False
radiation_type:xray

q,F(Q)
15.2,0.739602
15.25,0.40724942
15.3,0.17033942
15.35,0.04037076
15.4,-0.03396622
15.45,-0.1281893
15.5,-0.28799045
15.549999,-0.4898904
15.599999,-0.64052534
15.65,-0.6188092
15.7,-0.3424038
15.75,0.17498617
15.8,0.8064296
15.85,1.3480592
15.900001,1.5960536
15.95,1.431207
16.0,0.8727814
16.05,0.07660163
16.1,-0.72262216
16.15,-1.29854
16.2,-1.5118256
16.25,-1.3471078
16.300001,-0.89727
16.35,-0.30895588
16.400002,0.28001055
16.45,0.78104824
16.5,1.1597092
16.550001,1.4121948
16.6,1.5353332
16.65,1.512201
16.7,1.321537
16.75,0.9626675
16.800001,0.4766871
16.85,-0.052362047
16.9,-0.52054036
16.95,-0.8396525
17.0,-0.9668942
17.05,-0.91337746
17.1,-0.72906864
17.15,-0.47516593
17.2,-0.20063384
17.25,0.06460111
17.3,0.2996111
17.35,0.47611207
17.4,0.5506269
17.449999,0.4741248
17.5,0.21552156
17.55,-0.21424173
17.6,-0.7534516
17.65,-1.3035411
17.699999,-1.7607126
17.75,-2.0487902
17.8,-2.1366642
17.849998,-2.0332503
17.9,-1.7662086
17.949999,-1.3611815
17.999998,-0.83632535
18.05,-0.21581702
18.099998,0.44920716
18.150002,1.0707251
18.2,1.5383298
18.25,1.7559164
18.300001,1.68252
18.35,1.3540324
18.400002,0.8726691
18.45,0.36938536
18.5,-0.040436096
18.550001,-0.2851648
18.6,-0.33954063
18.65,-0.2095941
18.7,0.082101695
18.75,0.49719858
18.800001,0.9708234
18.85,1.4050628
18.9,1.6840607
18.95,1.7126831
19.0,1.4617467
19.05,0.99208516
19.1,0.43813837
19.15,-0.045580428
19.2,-0.34911343
19.25,-0.4485656
19.3,-0.4039475
19.35,-0.31710926
19.4,-0.27581766
19.449999,-0.31489462
19.5,-0.41209683
19.55,-0.5150049
19.6,-0.57879585
19.65,-0.5924349
19.699999,-0.58116424
19.75,-0.5879785
19.8,-0.6467486
19.849998,-0.7608283
19.9,-0.89598227
19.949999,-0.98919094
20.0,-0.97007364
20.05,-0.78834766
20.099998,-0.43871903
20.15,0.02612798
20.2,0.50217825
20.25,0.8620135
20.300001,0.9964763
20.35,0.8546126
20.400002,0.46537307
20.45,-0.06885409
20.5,-0.60442656
20.550001,-1.0008807
20.6,-1.160428
20.65,-1.0502105
20.7,-0.70339066
20.75,-0.2043961
20.800001,0.33473295
20.85,0.8000187
20.9,1.1002651
20.95,1.1873505
21.0,1.0679433
21.05,0.8015144
21.1,0.48207438
21.15,0.20789674
21.2,0.049202286
21.25,0.027003342
21.3,0.11107589
21.35,0.23707457
21.4,0.33385146
21.449999,0.34878996
21.5,0.26164973
21.55,0.08436753
21.6,-0.1492967
21.65,-0.3971434
21.699999,-0.6190991
21.75,-0.78223413
21.8,-0.86134535
21.849998,-0.83812875
21.9,-0.70194614
21.949999,-0.45391202
22.000002,-0.11313443
22.05,0.27839303
22.099998,0.6573893
22.150002,0.95063984
22.2,1.0950257
22.25,1.059793
22.300001,0.8608269
22.35,0.5587924
22.400002,0.23958795
22.45,-0.01560649
22.5,-0.15831882
22.550001,-0.1867602
22.6,-0.14099585
22.65,-0.08280822
22.7,-0.06998756
22.75,-0.13541955
22.800001,-0.27772057
22.85,-0.46454266
22.9,-0.6456178
22.95,-0.770203
23.0,-0.8032468
23.05,-0.7357029
23.1,-0.5858317
23.15,-0.39152363
23.2,-0.19675216
23.25,-0.037880484
23.3,0.065061554
23.35,0.10939664
23.4,0.10496546
23.449999,0.06776652
23.5,0.015812207
23.55,-0.031788554
23.6,-0.05503828
23.65,-0.03584545
23.699999,0.035385303
23.75,0.15205368
23.8,0.2876096
23.849998,0.40025356
23.9,0.44648173
23.949999,0.3989844
24.0,0.26128212
24.05,0.071822844
24.099998,-0.10559899
24.15,-0.20255993
24.2,-0.17070788
24.25,-0.00107595
24.300001,0.26941815
24.35,0.5671837
24.400002,0.8043936
24.45,0.90673155
24.5,0.8372982
24.550001,0.6081502
24.6,0.27595
24.65,-0.07670226
24.7,-0.36727104
24.75,-0.5377402
24.800001,-0.5698208
24.85,-0.4866009
24.9,-0.34148413
24.95,-0.19905658
25.0,-0.11433431
25.05,-0.11658302
25.1,-0.20195192
25.15,-0.3364247
25.2,-0.46791902
25.25,-0.5438558
25.3,-0.5289356
25.35,-0.41726455
25.4,-0.2343807
25.449999,-0.027971309
25.5,0.14958255
25.55,0.2601096
25.6,0.29239315
25.65,0.2633822
25.699999,0.20776401
25.75,0.16091791
25.8,0.14329901
25.849998,0.15316892
25.9,0.17047259
25.949999,0.16915852
25.999998,0.13146755
26.05,0.057367552
26.099998,-0.03493959
26.150002,-0.1169196
26.2,-0.16179033
26.25,-0.15513863
26.300001,-0.09978025
26.35,-0.013681683
26.400002,0.077160336
26.45,0.14734988
26.5,0.17907971
26.550001,0.1658787
26.6,0.11319591
26.65,0.036802113
26.7,-0.040527135
26.75,-0.09396326
26.800001,-0.10340968
26.85,-0.060917802
26.9,0.023845926
26.95,0.12350342
27.0,0.2001732
27.05,0.21895579
27.1,0.16252942
27.15,0.040401317
27.2,-0.11250588
27.25,-0.24824578
27.3,-0.32442945
27.35,-0.3205427
27.4,-0.24474399
27.449999,-0.1282573
27.5,-0.010635472
27.55,0.076739095
27.6,0.12132786
27.65,0.130121
27.699999,0.12156517
27.75,0.11383257
27.8,0.11551129
27.849998,0.122709595
27.9,0.122851744
27.949999,0.10238654
28.0,0.05439071
28.05,-0.01709735
28.099998,-0.09741642
28.15,-0.16572219
28.2,-0.20187071
28.25,-0.19355513
28.300001,-0.1414324
28.35,-0.060340457
28.400002,0.024436416
28.45,0.08538283
28.5,0.10296649
28.550001,0.07387922
28.6,0.013451918
28.65,-0.049649358
28.7,-0.08501403
28.75,-0.07360328
28.800001,-0.016581504
28.85,0.064509094
28.9,0.13660552
28.95,0.16924459
29.0,0.14754255
29.05,0.078299075
29.1,-0.013420085
29.15,-0.095299475
29.2,-0.14123583
29.25,-0.1411991
29.3,-0.10350673
29.35,-0.049182154
29.4,-0.001528741
29.449999,0.024058005
29.5,0.02561074
29.55,0.013522864
29.6,0.003987628
29.65,0.010381677
29.699999,0.03664545
29.75,0.07548597
29.8,0.1119135
29.849998,0.1302693
29.9,0.12139597
29.95,0.0868171
